Fiscal,Licence Issued,RA,Full Apportionment,Actual FTE Count,Annual Developed Volume,Volume Harvested
09/10,10.7,16.8,16.8,509,11.6,11.382537
10/11,11.3,16.7,16.7,546,8.9,10.451148
11/12,11.1,15.5,15.5,541,8.8,8.967612
12/13,10.4,14.9,14.9,533,10.9,9.838326
13/14,11.4,14.7,14.7,515,12.1,11.043326
14/15,13.1,13.9,15,520,11.3,10.435993
15/16,13,12.8,15,559,12.6,11.858018
16/17,12.7,12.5,14.7,601,13.1,10.691388
17/18,9.5,12.3,14.6,619,10.612095,9.578605
18/19,11.4,11.2,14.2,618,10.567139,10.386681
19/20,10.1,11.8,14.2,612,9.67584,8.817852
20/21,11.7,11.3,13.8,653,8.973716,10.434131
21/22,5.6,10.2,12.4,641,4.751903,8.097846
22/23,4.4,6.3,12.3,582,3.363059,4.932106
23/24,4.5,6.7,12.1,563,3.283614,3.117497
24/25,4.47,7.2,12.1,588,3.733997,4.018842
25/26,5.2,6.5,11.4,550,4.9,4.5
26/27,6.3,6.7,11.1,,6.5,5.256482
27/28,7,6.6,11.1,,6.9,5.266384
28/29,6.9,6.9,11.1,,7,5.611308
